TestName,ClassName,Outcome,Duration,StartTime,EndTime,RelativeResultsDirectory,ErrorMessage,StackTrace
"shinnzinn2026.Tests.StaffListControllerTests.StaffList_ReturnsView_WithPaginationAndViewBag","shinnzinn2026.Tests.StaffListControllerTests","Passed","00:00:00.5588682","2026-06-02T17:38:14.0560469+09:00","2026-06-02T17:38:14.6192639+09:00","db20c3e0-400d-4062-ac2a-14d1b37bb4dc",,
"shinnzinn2026.Tests.StaffListControllerTests.StaffList_RedirectsToLogin_WhenNotManager","shinnzinn2026.Tests.StaffListControllerTests","Passed","00:00:00.0009652","2026-06-02T17:38:14.6396225+09:00","2026-06-02T17:38:14.6396774+09:00","364ec7fc-1462-419c-9d11-6502330ee501",,
"shinnzinn2026.Tests.Controllers.StaffListControllerTests.StaffList_RedirectsToLogin_WhenNotManager","shinnzinn2026.Tests.Controllers.StaffListControllerTests","Passed","00:00:00.5011101","2026-06-02T17:38:14.0562475+09:00","2026-06-02T17:38:14.5655218+09:00","a4a066e0-bee5-46ea-b54c-a8308fc6486a",,
"shinnzinn2026.Tests.IntegrationTests.StaffListControllerTests.StaffList_InvalidPage_ClampsToValidRange","shinnzinn2026.Tests.IntegrationTests.StaffListControllerTests","Passed","00:00:00.0145830","2026-06-02T17:38:14.6032971+09:00","2026-06-02T17:38:14.6182378+09:00","6d7bbe16-cd14-4636-8925-fd6544bd19e3",,
"shinnzinn2026.Tests.UnitTest1.Test1","shinnzinn2026.Tests.UnitTest1","Passed","00:00:00.0022483","2026-06-02T17:38:14.0549847+09:00","2026-06-02T17:38:14.0644983+09:00","9ecefaed-ffd5-47e4-b853-935a82430391",,
"shinnzinn2026.Tests.Controllers.StaffListControllerTests.StaffList_ReturnsView_WithPagedResults","shinnzinn2026.Tests.Controllers.StaffListControllerTests","Passed","00:00:00.0232027","2026-06-02T17:38:14.5949400+09:00","2026-06-02T17:38:14.6184351+09:00","a807f30e-3acc-4bb3-8e94-f4d7c9cecfcc",,
"shinnzinn2026.Tests.Controllers.StaffListControllerTests.StaffList_RedirectsToLogin_WhenSessionMissing","shinnzinn2026.Tests.Controllers.StaffListControllerTests","Passed","00:00:00.0330392","2026-06-02T17:38:14.5664749+09:00","2026-06-02T17:38:14.5946734+09:00","8aa8f01e-640f-4fc0-98ae-2d0ee6272f92",,
"shinnzinn2026.Tests.IntegrationTests.StaffListControllerTests.StaffList_Pagination_ReturnsOnlyPageItems","shinnzinn2026.Tests.IntegrationTests.StaffListControllerTests","Passed","00:00:00.5426405","2026-06-02T17:38:14.0562340+09:00","2026-06-02T17:38:14.6030133+09:00","cf27bf1b-de37-4c94-8e3c-2174dc9589fc",,
"shinnzinn2026.Tests.IntegrationTests.StaffListControllerTests.StaffList_ReturnsViewWithStaffs_WhenDataExists","shinnzinn2026.Tests.IntegrationTests.StaffListControllerTests","Passed","00:00:00.0016490","2026-06-02T17:38:14.6183946+09:00","2026-06-02T17:38:14.6194859+09:00","4e56a4b6-e873-4406-85d9-442e6ea1e71e",,
"shinnzinn2026.Tests.StaffListControllerTests.StaffList_RedirectsToLogin_WhenNoSession","shinnzinn2026.Tests.StaffListControllerTests","Passed","00:00:00.0007560","2026-06-02T17:38:14.6194525+09:00","2026-06-02T17:38:14.6199574+09:00","b3acab96-b8fc-4801-9e03-d4285f6470fd",,
